name,brand,link,link-href,description,manufacturer,date,type,released,value,cabinet,display,image-src,players,flippers,ramps,multiball,ipdb
"Batman Forever","Sega, 1995","Batman Forever","https://pinside.com/pinball/archive/batman-forever","Batman Forever is a pinball machine from July 1995, manufactured by Sega Pinball, Inc. (US).","Sega Pinball, Inc. (US)","July 1995","SS","2,500","$2220 - $2580","Wide body","Dot Matrix","https://img-d.pinside.com/polaroider/small/8dcb02272af0e0e0d6c488569ef459b5913e40fd/archive/jpg/250/QmF0bWFuIEZvcmV2ZXIgKDE5OTUp/714977411b2b1cf8213075a681f94a6b.png","6","3","4","4","3593"
"Transformers (Premium/LE)","Stern, 2011","Transformers (Premium/LE)","https://pinside.com/pinball/archive/transformers-(le)","Transformers (Premium/LE) is a pinball machine from November 2011, manufactured by Stern Pinball, Inc.","Stern Pinball, Inc.","November 2011","SS","750","$4990 - $5810","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/1a6c32101c638e7f5d7a1624a239b6b26f5dca00/archive/jpg/250/VHJhbnNmb3JtZXJzIChQcmVtaXVtL0xFKSAoMjAxMSk%3D/b28d5892e1c36a34ac4ef374b89d4aaf.png","4","2","3","4","5753"
"Earthshaker","Williams, 1989","Earthshaker","https://pinside.com/pinball/archive/earthshaker","Earthshaker is a pinball machine from February 1989, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","February 1989","SS","5,265","$2130 - $2470","Normal","Alphanumeric","https://img-d.pinside.com/polaroider/small/790bb03ce669de43d5d6a1ce46c3714921e70210/archive/jpg/250/RWFydGhzaGFrZXIgKDE5ODkp/20565a8fdb8f2921afd0cecebba35e68.png","4","3","2","3","753"
"Metallica (Pro)","Stern, 2013","Metallica (Pro)","https://pinside.com/pinball/archive/metallica","500 Master of Puppets LE's, 2 Premium versions and 1 Pro version.","Stern Pinball, Inc.","April 2013","SS","null","$4250 - $4950","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/4a3631939fd92d1b41fa1468e42c48a76d6a0978/archive/jpg/250/TWV0YWxsaWNhIChQcm8pICgyMDEzKQ%3D%3D/f14c84f35fba0d19984686f4f950ef3a.png","4","2","2","4","6028"
"Judge Dredd","Bally, 1993","Judge Dredd","https://pinside.com/pinball/archive/judge-dredd","This machine was designed by John Trudeau and released by Bally in 1993. The machine takes inspiration from the Judge Dredd comic books that increased in popularity during the early 90s. Also featured in the machine was a rotating Deadworld model that could capture the ball, and a unique gameplay mechanic called ""SuperGame"" - featuring 4 unique modes, a unique 6-ball multi ball, and a 100 million Super Shot attainable within the latter.","Bally Manufacturing Co.","January 1993","SS","6,990","$2130 - $2470","Wide body","Dot Matrix","https://img-d.pinside.com/polaroider/small/309112d3f81a2eebde39cde361c12d8930b510c0/archive/jpg/250/SnVkZ2UgRHJlZGQgKDE5OTMp/7e61d9b4da6c928de5581e94bcc18ceb.png","4","4","4","6","1322"
"Tommy Pinball Wizard","Data East, 1994","Tommy Pinball Wizard","https://pinside.com/pinball/archive/tommy-pinball-wizard","Tommy Pinball Wizard is a pinball machine from February 1994, manufactured by Data East USA, Inc.","Data East USA, Inc.","February 1994","SS","3,500","$2770 - $3230","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/68ad8d8a5bb7885993ee7c0056d456fe92e00717/archive/jpg/250/VG9tbXkgUGluYmFsbCBXaXphcmQgKDE5OTQp/5ccc6c45cead50a5b4075bae4a5e7134.png","4","3","2","6","2579"
"Lord of the Rings","Stern, 2003","Lord of the Rings","https://pinside.com/pinball/archive/lord-of-the-rings","Lord of the Rings  is a pinball machine from November 2003, manufactured by Stern Pinball, Inc.","Stern Pinball, Inc.","November 2003","SS","5,100","$4810 - $5590","Normal","Dot Matrix","https://img-d.pinside.com/polaroider/small/8ea6904243783a4d24a1e09180e793b4237e2bbe/archive/jpg/250/TG9yZCBvZiB0aGUgUmluZ3MgICgyMDAzKQ%3D%3D/ab6ae7f6b914839e2af4277827acb122.png","4","2","3","4","4858"
"High Speed","Williams, 1986","High Speed","https://pinside.com/pinball/archive/high-speed","High Speed is a pinball machine from 1986, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","null","SS","17,080","$1200 - $1400","Normal","Alphanumeric","https://img-d.pinside.com/polaroider/small/eb823497a4d493b39205d6dae1ee92b6f40f87e4/archive/jpg/250/SGlnaCBTcGVlZCAoMTk4Nik%3D/061f4c1bbf08502b320bf3ff9fe24b65.png","4","3","1","3","1176"
"FunHouse","Williams, 1990","FunHouse","https://pinside.com/pinball/archive/funhouse","FunHouse is a pinball machine from November 1990, manufactured by Williams Electronic Games, Inc.","Williams Electronic Games, Inc.","November 1990","SS","10,750","$2770 - $3230","Normal","Alphanumeric","https://img-d.pinside.com/polaroider/small/469db897ec58933beacecc9bad97cdd78a70590a/archive/jpg/250/RnVuSG91c2UgKDE5OTAp/434717eff8f471d1f4daa68caeece530.png","4","3","2","3","966"
"Xenon","Bally, 1980","Xenon","https://pinside.com/pinball/archive/xenon","Xenon is a pinball machine from November 1980, manufactured by Bally Manufacturing Co.","Bally Manufacturing Co.","November 1980","SS","11,000","$1850 - $2150","Normal","Digital","https://img-d.pinside.com/polaroider/small/a1eef26550ef77ec5c2baf61b2473b5558114384/archive/jpg/250/WGVub24gKDE5ODAp/26a8ee4e5aabae7f4fd27d1401745398.png","4","2","1","2","2821"
